英文标准词	采用中文	译名状态	依据	定位	编辑说明
Ballistus Dreadnought	射手型无畏机甲	官方已核对	GW09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09中文32页/GW10英文31页	直接核读中英单位表；两PDF版本不同，名称对应已确认。
Brutalis Fists	残暴之拳	暂定·官方待核	所给英文底稿	篇1451	沿残暴无畏机甲词根暂定，完整武器名待核。
Brutalis Claws	残暴之爪	暂定·官方待核	所给英文底稿	篇1451	沿残暴无畏机甲词根暂定。
Malcades	马尔卡德斯	暂定·官方待核	所给英文底稿	篇1451	沿原稿。
Kurggar Fyrfist	库加·火拳	暂定·官方待核	所给英文底稿	篇1451	沿原稿。
Lazarius	拉扎琉斯	暂定·官方待核	所给英文底稿	篇1451	沿较早444篇同一银色颅骨驾驶员。
Contemptor Pattern Dreadnought	蔑视者型无畏机甲	暂定·官方待核	所给英文底稿	篇1452	依据官方神圣蔑视者等完整单位词根，泛称暂定。
Castraferrum Pattern Dreadnought	铸铁型无畏机甲	暂定·官方待核	所给英文底稿	篇1452	沿原稿；源文另误拼Castaferrum。
Atomantic Shielding	原子护盾	暂定·官方待核	所给英文底稿	篇1452	护盾系统暂定。
Atomantic arc-reactor	原子电弧反应堆	暂定·官方待核	所给英文底稿	篇1452	沿原稿，技术含义不作现实化推断。
Contemptor-Cortus Dreadnought	蔑视者科尔图斯无畏机甲	暂定·官方待核	所给英文底稿	篇1452	简化变体。
Contemptor-Mortis Dreadnought	蔑视者莫提斯无畏机甲	暂定·官方待核	所给英文底稿	篇1452	防空变体。
Osiron Class Dreadnought	奥希隆级无畏机甲	暂定·官方待核	所给英文底稿	篇1452	沿原稿。
Praesidium shield	禁卫盾	暂定·官方待核	所给英文底稿	篇1452	沿本稿禁军防护装备名。
